Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s,power_smooth
23.96,2.28,54.6,2.122,0.032183666666666666,245.14964502777937,11053.42500000008,80.51746091688858
23.97,1.38,33.0,2.13,0.019524999999999997,245.16917002777936,11055.555000000079,79.06886391378491
23.96,1.62,38.8,2.118,0.02282733333333333,245.1919973611127,11057.673000000079,79.23717695166023
23.67,2.19,51.8,2.119,0.030490055555555555,245.22248741666826,11059.79200000008,79.15549577169968
23.66,10.11,239.2,2.131,0.1415931111111111,245.36408052777938,11061.923000000079,79.03107046894874
23.65,10.86,256.8,2.12,0.15122666666666668,245.51530719444605,11064.04300000008,78.96118010099988
23.96,2.28,54.6,2.121,0.0321685,245.54747569444606,11066.164000000079,78.97059967146451
23.98,2.04,48.9,2.129,0.028918916666666666,245.57639461111273,11068.29300000008,78.83654852461916
23.98,1.71,41.0,2.118,0.024121666666666666,245.6005162777794,11070.41100000008,78.73479355463647
23.96,2.16,51.7,2.118,0.030416833333333334,245.63093311111274,11072.52900000008,78.67540252552573
23.98,2.13,51.0,2.133,0.0302175,245.66115061111273,11074.66200000008,78.41299608851727
23.97,2.16,51.7,2.124,0.030503000000000002,245.69165361111274,11076.78600000008,79.87136868083827
23.99,1.65,39.5,2.118,0.02323916666666667,245.7148927777794,11078.90400000008,81.29791498489124
23.96,2.19,52.4,2.127,0.030959666666666663,245.74585244444606,11081.03100000008,82.88333473122368
23.98,1.74,41.7,2.119,0.02454508333333334,245.77039752777938,11083.150000000081,82.88001384770901
23.99,1.92,46.0,2.118,0.02706333333333333,245.7974608611127,11085.268000000082,82.8643377907829
23.96,2.19,52.4,2.12,0.03085777777777778,245.8283186388905,11087.388000000083,81.34392320406224
23.96,2.25,53.9,2.127,0.03184591666666666,245.86016455555716,11089.515000000083,79.7902340908971
23.96,2.19,52.4,2.118,0.030828666666666667,245.89099322222384,11091.633000000083,79.792923333005
23.96,2.25,53.9,2.118,0.031711166666666665,245.9227043888905,11093.751000000084,79.84777279537464
23.68,10.32,244.3,2.133,0.14474775,246.0674521388905,11095.884000000084,79.8116720283234
23.66,10.35,244.8,2.12,0.14416,246.2116121388905,11098.004000000084,79.73740358294225
23.64,10.2,241.1,2.119,0.1419141388888889,246.3535262777794,11100.123000000085,79.72077736679424
23.96,2.16,51.7,2.132,0.030617888888888892,246.38414416666828,11102.255000000085,79.6452423503399
23.96,2.28,54.6,2.123,0.032198833333333336,246.4163430000016,11104.378000000084,79.52715071578295
